VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[2.  1.5 1. ]
POINST TOTAL =  1408 Point Range =  88
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 1408 swtcnt: 1
Measurement time: 0.804 s
PAT:  000000000000ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -58.467647552490234
PAT:  000000000006ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -58.348851340157644
PAT:  000000000086ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -58.402976172310964
PAT:  000000000686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -58.24371542249407
PAT:  00000000c686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -58.13332448686872
PAT:  0000000fc686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -57.83648123059954
PAT:  0000008fc686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -57.83099678584507
PAT:  00000f8fc686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -57.632566588265554
PAT:  0000bf8fc686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -57.482507296970915
PAT:  000dbf8fc686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -57.405726296561106
PAT:  000dbf8fc686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -57.50482177734375
PAT:  0e0dbf8fc686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -57.17410700661795
PAT:  ce0dbf8fc686ce0f8f0fcf0f8f0d860f8f0e7e0e4f0dce0fcf0c8e0e7f0fb61c POW MAX:  -57.0820575441633
POINST TOTAL =  1056 Point Range =  66
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 1056 swtcnt: 1
Measurement time: 0.628 s
PAT:  0000000000000000000000000000000000000000000000000000000000000006 POW MAX:  -73.54439544677734
PAT:  0000000000000000000000000000000000000000000000000000000000000006 POW MAX:  -74.24187029325046
PAT:  0000000000000000000000000000000000000000000000000000000000000e06 POW MAX:  -72.65852473332332
PAT:  0000000000000000000000000000000000000000000000000000000000007e06 POW MAX:  -72.52134352463942
PAT:  00000000000000000000000000000000000000000000000000000000000f7e06 POW MAX:  -71.91729442889874
PAT:  00000000000000000000000000000000000000000000000000000000000f7e06 POW MAX:  -72.15252568171574
PAT:  000000000000000000000000000000000000000000000000000000000f0f7e06 POW MAX:  -70.33300986656776
PAT:  000000000000000000000000000000000000000000000000000000008f0f7e06 POW MAX:  -69.83130763127254
PAT:  0000000000000000000000000000000000000000000000000000000e8f0f7e06 POW MAX:  -69.27721903874324
PAT:  0000000000000000000000000000000000000000000000000000001e8f0f7e06 POW MAX:  -69.29695686927208
PAT:  00000000000000000000000000000000000000000000000000000d1e8f0f7e06 POW MAX:  -68.55675389216496
PAT:  0000000000000000000000000000000000000000000000000000cd1e8f0f7e06 POW MAX:  -68.5842032799354
PAT:  000000000000000000000000000000000000000000000000000fcd1e8f0f7e06 POW MAX:  -67.73666998056265
PAT:  000000000000000000000000000000000000000000000000000fcd1e8f0f7e06 POW MAX:  -67.71378150353065
PAT:  0000000000000000000000000000000000000000000000000d0fcd1e8f0f7e06 POW MAX:  -66.93090967031625
PAT:  0000000000000000000000000000000000000000000000008d0fcd1e8f0f7e06 POW MAX:  -67.02972764235277
