0;0000000000000000000000000000000000000000000000000000000000000000;[[-72, 65, 0], [-72, 66, 0], [-72, 67, 0], [-72, 68, 0], [-72, 69, 0], [-72, 70, 0], [-72, 71, 0], [-72, 72, 0], [-72, 73, 0], [-72, 74, 0], [-72, 75, 0], [-72, 76, 0], [-72, 77, 0], [-72, 78, 0], [-72, 79, 0], [-72, 80, 0], [-72, 60, 90], [-72, 61, 90], [-72, 62, 90], [-72, 63, 90], [-72, 64, 90], [-72, 65, 90], [-72, 66, 90], [-72, 67, 90], [-72, 68, 90], [-72, 69, 90], [-72, 70, 90], [-72, 71, 90], [-72, 72, 90], [-71, 65, 0], [-71, 66, 0], [-71, 67, 0], [-71, 68, 0], [-71, 69, 0], [-71, 70, 0], [-71, 71, 0], [-71, 72, 0], [-71, 73, 0], [-71, 74, 0], [-71, 75, 0], [-71, 76, 0], [-71, 77, 0], [-71, 78, 0], [-71, 79, 0], [-71, 80, 0], [-71, 59, 90], [-71, 60, 90], [-71, 61, 90], [-71, 62, 90], [-71, 63, 90], [-71, 64, 90], [-71, 65, 90], [-71, 66, 90], [-71, 67, 90], [-71, 68, 90], [-71, 69, 90], [-71, 70, 90], [-71, 71, 90], [-70, 64, 0], [-70, 65, 0], [-70, 66, 0], [-70, 67, 0], [-70, 68, 0], [-70, 69, 0], [-70, 70, 0], [-70, 71, 0], [-70, 72, 0], [-70, 73, 0], [-70, 74, 0], [-70, 75, 0], [-70, 76, 0], [-70, 77, 0], [-70, 78, 0], [-70, 79, 0], [-70, 80, 0], [-70, 59, 90], [-70, 60, 90], [-70, 61, 90], [-70, 62, 90], [-70, 63, 90], [-70, 64, 90], [-70, 65, 90], [-70, 66, 90], [-70, 67, 90], [-70, 68, 90], [-70, 69, 90], [-70, 70, 90], [-69, 63, 0], [-69, 64, 0], [-69, 65, 0], [-69, 66, 0], [-69, 67, 0], [-69, 68, 0], [-69, 69, 0], [-69, 70, 0], [-69, 71, 0], [-69, 72, 0], [-69, 73, 0], [-69, 74, 0], [-69, 75, 0], [-69, 76, 0], [-69, 77, 0], [-69, 78, 0], [-69, 58, 90], [-69, 59, 90], [-69, 60, 90], [-69, 61, 90], [-69, 62, 90], [-69, 63, 90], [-69, 64, 90], [-69, 65, 90], [-69, 66, 90], [-69, 67, 90], [-69, 68, 90], [-69, 69, 90], [-68, 62, 0], [-68, 63, 0], [-68, 64, 0], [-68, 65, 0], [-68, 66, 0], [-68, 67, 0], [-68, 68, 0], [-68, 69, 0], [-68, 70, 0], [-68, 71, 0], [-68, 72, 0], [-68, 73, 0], [-68, 74, 0], [-68, 75, 0], [-68, 76, 0], [-68, 57, 90], [-68, 58, 90], [-68, 59, 90], [-68, 60, 90], [-68, 61, 90], [-68, 62, 90], [-68, 63, 90], [-68, 64, 90], [-68, 65, 90], [-68, 66, 90], [-68, 67, 90], [-68, 68, 90]]
1;0001000100010001000100010001000100010001000100010001000100010001;[[-72, 59, 90], [-71, 64, 0], [-70, 58, 90], [-69, 79, 0], [-69, 57, 90], [-68, 77, 0]]
2;0003000300030003000300030003000300030003000300030003000300030003;[[-72, 58, 90], [-71, 58, 90], [-70, 63, 0], [-70, 57, 90], [-69, 62, 0], [-69, 80, 0], [-68, 78, 0], [-68, 56, 90]]
3;0007000700070007000700070007000700070007000700070007000700070007;[[-72, 64, 0], [-72, 57, 90], [-71, 63, 0], [-71, 57, 90], [-70, 56, 90], [-69, 56, 90], [-68, 61, 0], [-68, 79, 0], [-68, 55, 90]]
4;000f000f000f000f000f000f000f000f000f000f000f000f000f000f000f000f;[[-72, 63, 0], [-72, 56, 90], [-71, 56, 90], [-70, 62, 0], [-70, 55, 90], [-69, 61, 0], [-69, 55, 90], [-68, 60, 0], [-68, 80, 0], [-68, 54, 90]]
5;001f001f001f001f001f001f001f001f001f001f001f001f001f001f001f001f;[[-72, 55, 90], [-71, 62, 0], [-71, 55, 90], [-70, 61, 0], [-70, 54, 90], [-69, 60, 0], [-69, 53, 90], [-69, 54, 90], [-68, 53, 90]]
6;003f003f003f003f003f003f003f003f003f003f003f003f003f003f003f003f;[[-72, 62, 0], [-72, 54, 90], [-71, 61, 0], [-71, 53, 90], [-71, 54, 90], [-70, 60, 0], [-70, 53, 90], [-69, 52, 90], [-68, 59, 0], [-68, 51, 90], [-68, 52, 90]]
7;007f007f007f007f007f007f007f007f007f007f007f007f007f007f007f007f;[[-72, 61, 0], [-72, 52, 90], [-72, 53, 90], [-71, 60, 0], [-71, 51, 90], [-71, 52, 90], [-70, 59, 0], [-70, 51, 90], [-70, 52, 90], [-69, 59, 0], [-69, 50, 90], [-69, 51, 90], [-68, 58, 0], [-68, 50, 90]]
8;00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe00fe;[[-72, 50, 90], [-71, 49, 90], [-70, 49, 90], [-69, 48, 90], [-68, 48, 90]]
9;00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff;[[-72, 59, 0], [-72, 60, 0], [-72, 51, 90], [-71, 59, 0], [-71, 50, 90], [-70, 58, 0], [-70, 50, 90], [-69, 57, 0], [-69, 58, 0], [-69, 49, 90], [-68, 57, 0], [-68, 49, 90]]
