highest_id,Rx_angle,max_value
31,54.922754397022565,-72.89108276367188
31,54.922754397022565,-73.3834228515625
31,54.922754397022565,-73.3652572631836
31,54.922754397022565,-73.00116729736328
31,54.922754397022565,-72.69794464111328
31,54.922754397022565,-73.15216827392578
31,54.922754397022565,-73.38125610351562
31,54.922754397022565,-73.51702117919922
31,54.922754397022565,-73.44928741455078
31,54.922754397022565,-73.15140533447266
31,54.922754397022565,-73.24882507324219
31,54.922754397022565,-73.40412139892578
31,54.922754397022565,-73.52696228027344
31,54.922754397022565,-73.2848129272461
31,54.922754397022565,-73.34864044189453
31,54.922754397022565,-73.18073272705078
31,54.922754397022565,-72.9285888671875
31,54.922754397022565,-73.03316497802734
31,54.922754397022565,-73.0291976928711
31,54.922754397022565,-73.12857818603516
31,54.922754397022565,-73.28681945800781
31,54.922754397022565,-73.56016540527344
31,54.922754397022565,-73.32238006591797
31,54.922754397022565,-73.73353576660156
31,54.922754397022565,-73.04761505126953
31,54.922754397022565,-73.2202377319336
31,54.922754397022565,-73.51311492919922
31,54.922754397022565,-73.17501831054688
31,54.922754397022565,-73.84998321533203
31,54.922754397022565,-73.44854736328125
31,54.922754397022565,-73.50941467285156
31,54.922754397022565,-73.68563842773438
31,54.922754397022565,-73.61679077148438
31,54.922754397022565,-73.495361328125
31,54.922754397022565,-73.23859405517578
31,54.922754397022565,-73.52671813964844
31,54.922754397022565,-73.8821029663086
31,54.922754397022565,-73.7959976196289
31,54.922754397022565,-73.60797882080078
31,54.922754397022565,-73.33367156982422
31,54.922754397022565,-73.47784423828125
31,54.922754397022565,-73.60034942626953
31,54.922754397022565,-73.77935791015625
31,54.922754397022565,-73.66021728515625
31,54.922754397022565,-73.95636749267578
31,54.922754397022565,-73.86266326904297
31,54.922754397022565,-73.86280822753906
31,54.922754397022565,-73.90821838378906
31,54.922754397022565,-73.72811126708984
31,54.922754397022565,-73.42412567138672
31,54.922754397022565,-73.47228240966797
31,54.922754397022565,-73.86540222167969
31,54.922754397022565,-74.16114807128906
31,54.922754397022565,-73.9712142944336
31,54.922754397022565,-74.1032485961914
31,54.922754397022565,-74.17289733886719
31,54.922754397022565,-73.90283966064453
31,54.922754397022565,-73.93636322021484
31,54.922754397022565,-74.0166015625
31,54.922754397022565,-74.04291534423828
31,54.922754397022565,-74.13516235351562
31,54.922754397022565,-74.20893096923828
31,54.922754397022565,-74.18415069580078
31,54.922754397022565,-74.30233764648438
31,54.922754397022565,-74.35882568359375
31,54.922754397022565,-74.09425354003906
31,54.922754397022565,-73.9235610961914
31,54.922754397022565,-74.65179443359375
31,54.922754397022565,-74.52731323242188
31,54.922754397022565,-74.30464935302734
31,54.922754397022565,-74.55258178710938
31,54.922754397022565,-74.26345825195312
31,54.922754397022565,-74.14826965332031
28,54.922754397022565,-74.21647644042969
28,54.922754397022565,-74.77532196044922
31,54.922754397022565,-74.69859313964844
28,54.922754397022565,-74.51132202148438
31,54.922754397022565,-74.79859161376953
28,54.922754397022565,-74.81005859375
28,54.922754397022565,-74.66395568847656
28,54.922754397022565,-74.42015838623047
28,54.922754397022565,-74.62033081054688
28,54.922754397022565,-74.96279907226562
28,54.922754397022565,-74.85832977294922
28,54.922754397022565,-74.78108978271484
28,54.922754397022565,-74.95446014404297
28,54.922754397022565,-74.85340118408203
28,54.922754397022565,-74.82247924804688
28,54.922754397022565,-74.77862548828125
28,54.922754397022565,-74.86360168457031
28,54.922754397022565,-75.32601165771484
28,54.922754397022565,-75.1556625366211
28,54.922754397022565,-75.08909606933594
28,54.922754397022565,-75.05938720703125
28,54.922754397022565,-75.02189636230469
28,54.922754397022565,-75.00141143798828
28,54.922754397022565,-74.72779083251953
28,54.922754397022565,-75.32925415039062
28,54.922754397022565,-75.4527587890625
28,54.922754397022565,-75.17666625976562
28,54.922754397022565,-75.55818176269531
28,54.922754397022565,-75.2498550415039
28,54.922754397022565,-75.17338562011719
28,54.922754397022565,-75.02890014648438
28,54.922754397022565,-75.05345153808594
28,54.922754397022565,-75.21005249023438
28,54.922754397022565,-75.35707092285156
28,54.922754397022565,-75.67033386230469
28,54.922754397022565,-75.48155975341797
28,54.922754397022565,-75.45362854003906
28,54.922754397022565,-75.39295196533203
28,54.922754397022565,-75.26952362060547
28,54.922754397022565,-75.36128234863281
28,54.922754397022565,-75.23696899414062
28,54.922754397022565,-75.76744079589844
28,54.922754397022565,-75.49119567871094
28,54.922754397022565,-75.37570190429688
28,54.922754397022565,-75.28137969970703
28,54.922754397022565,-75.50531768798828
28,54.922754397022565,-75.68611145019531
28,54.922754397022565,-75.1811294555664
28,54.922754397022565,-75.64984893798828
31,54.922754397022565,-75.67598724365234
28,54.922754397022565,-75.76067352294922
28,54.922754397022565,-75.87940216064453
28,54.922754397022565,-75.30091857910156
28,54.922754397022565,-75.32718658447266
28,54.922754397022565,-75.37047576904297
28,54.922754397022565,-75.28411102294922
28,54.922754397022565,-75.44979858398438
28,54.922754397022565,-75.60259246826172
28,54.922754397022565,-75.88511657714844
28,54.922754397022565,-75.08877563476562
28,54.922754397022565,-75.6607894897461
28,54.922754397022565,-75.47566986083984
28,54.922754397022565,-75.46183776855469
28,54.922754397022565,-75.50366973876953
28,54.922754397022565,-75.24223327636719
28,54.922754397022565,-75.80448913574219
28,54.922754397022565,-75.38148498535156
28,54.922754397022565,-75.32151794433594
28,54.922754397022565,-75.30003356933594
28,54.922754397022565,-75.3648910522461
28,54.922754397022565,-75.19172668457031
28,54.922754397022565,-75.26242065429688
28,54.922754397022565,-75.57733154296875
30,54.922754397022565,-75.26250457763672
28,54.922754397022565,-75.40668487548828
28,54.922754397022565,-75.37786865234375
28,54.922754397022565,-74.78435516357422
28,54.922754397022565,-75.2494888305664
28,54.922754397022565,-74.84817504882812
28,54.922754397022565,-75.1073989868164
28,54.922754397022565,-75.50941467285156
28,54.922754397022565,-75.2457275390625
28,54.922754397022565,-74.76912689208984
28,54.922754397022565,-75.32736206054688
28,54.922754397022565,-75.16289520263672
28,54.922754397022565,-74.94486236572266
28,54.922754397022565,-74.61199951171875
28,54.922754397022565,-75.39096069335938
30,54.922754397022565,-75.34171295166016
30,54.922754397022565,-75.05270385742188
28,54.922754397022565,-75.32792663574219
28,54.922754397022565,-74.86640167236328
28,54.922754397022565,-75.02947235107422
30,54.922754397022565,-74.9043960571289
28,54.922754397022565,-75.49627685546875
30,54.922754397022565,-75.17440795898438
30,54.922754397022565,-75.37506866455078
28,54.922754397022565,-75.16987609863281
30,54.922754397022565,-75.2240982055664
30,54.922754397022565,-74.90040588378906
30,54.922754397022565,-75.18859100341797
30,54.922754397022565,-75.14336395263672
28,54.922754397022565,-74.77688598632812
30,54.922754397022565,-75.54402923583984
30,54.922754397022565,-75.05448913574219
30,54.922754397022565,-75.23004913330078
28,54.922754397022565,-74.85958099365234
30,54.922754397022565,-74.83406066894531
30,54.922754397022565,-74.99962615966797
30,54.922754397022565,-75.05796813964844
30,54.922754397022565,-75.20661926269531
30,54.922754397022565,-75.07781219482422
30,54.922754397022565,-74.97605895996094
30,54.922754397022565,-74.95944213867188
30,54.922754397022565,-75.20519256591797
30,54.922754397022565,-75.04241943359375
30,54.922754397022565,-75.15026092529297
30,54.922754397022565,-74.95166015625
30,54.922754397022565,-75.33493041992188
30,54.922754397022565,-75.2322769165039
30,54.922754397022565,-75.20745849609375
30,54.922754397022565,-75.16832733154297
28,54.922754397022565,-75.05416870117188
30,54.922754397022565,-75.30919647216797
30,54.922754397022565,-75.1387710571289
30,54.922754397022565,-75.33023071289062
30,54.922754397022565,-75.60100555419922
30,54.922754397022565,-75.38739776611328
30,54.922754397022565,-75.53462219238281
30,54.922754397022565,-75.2453384399414
30,54.922754397022565,-75.34306335449219
30,54.922754397022565,-75.35298156738281
30,54.922754397022565,-75.20085144042969
30,54.922754397022565,-75.40973663330078
