highest_id,Rx_angle,max_value
122,40.835241731844285,-74.4034652709961
122,40.835241731844285,-74.90083312988281
122,40.835241731844285,-74.88127899169922
122,40.835241731844285,-74.5205307006836
122,40.835241731844285,-74.22050476074219
122,40.835241731844285,-74.68925476074219
122,40.835241731844285,-74.9001235961914
122,40.835241731844285,-75.05828094482422
122,40.835241731844285,-74.97962951660156
122,40.835241731844285,-74.694580078125
122,40.835241731844285,-74.7958984375
122,40.835241731844285,-74.96504211425781
122,40.835241731844285,-75.0677719116211
122,40.835241731844285,-74.81143951416016
122,40.835241731844285,-74.8851547241211
122,40.835241731844285,-74.71723175048828
122,40.835241731844285,-74.44479370117188
122,40.835241731844285,-74.56471252441406
122,40.835241731844285,-74.55470275878906
122,40.835241731844285,-74.66100311279297
122,40.835241731844285,-74.78919219970703
122,40.835241731844285,-75.05278778076172
122,40.835241731844285,-74.82195281982422
122,40.835241731844285,-75.23514556884766
122,40.835241731844285,-74.5398178100586
122,40.835241731844285,-74.69804382324219
122,40.835241731844285,-74.9854736328125
122,40.835241731844285,-74.65704345703125
122,40.835241731844285,-75.30760192871094
122,40.835241731844285,-74.91182708740234
122,40.835241731844285,-74.97459411621094
122,40.835241731844285,-75.1141586303711
122,40.835241731844285,-75.05847930908203
122,40.835241731844285,-74.92572784423828
122,40.835241731844285,-74.66474914550781
122,40.835241731844285,-74.94090270996094
122,40.835241731844285,-75.29258728027344
122,40.835241731844285,-75.22087097167969
122,40.835241731844285,-74.9903335571289
122,40.835241731844285,-74.72996520996094
122,40.835241731844285,-74.8593521118164
122,40.835241731844285,-74.98033142089844
122,40.835241731844285,-75.14725494384766
122,40.835241731844285,-75.00688934326172
122,40.835241731844285,-75.30243682861328
122,40.835241731844285,-75.17716979980469
122,40.835241731844285,-75.15653228759766
122,40.835241731844285,-75.18782043457031
122,40.835241731844285,-75.0295639038086
122,40.835241731844285,-74.71038055419922
122,40.835241731844285,-74.72530364990234
122,40.835241731844285,-75.1072998046875
122,40.835241731844285,-75.37774658203125
122,40.835241731844285,-75.1716537475586
