VISA Manufacturer: SocketIO
Hello, I am Rohde&Schwarz,FSV3030,1330.5000K30/102136,2.00SP1
[3.  2.5 2.  1.5 1. ]
POINST TOTAL =  2112 Point Range =  132
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 2112 swtcnt: 1
Measurement time: 1.156 s
PAT:  000000000000870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -57.3436991903517
PAT:  000000000007870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -57.21159574720595
PAT:  000000000087870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -57.13870822058784
PAT:  000000000787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -57.07619465721978
PAT:  00000000c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -56.884919219546845
PAT:  00000002c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -56.83577659395006
PAT:  000000c2c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -56.77572955025567
PAT:  000007c2c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -56.596483919355606
PAT:  0000c7c2c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -56.437377240922714
PAT:  0007c7c2c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -56.308533880445694
PAT:  0007c7c2c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -56.34724420971341
PAT:  0707c7c2c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -56.03876108593411
PAT:  8707c7c2c787870fc787c787878fc78f8f8fc687c7c7c782c7c3c3c3e3a3e3c3 POW MAX:  -55.962666511535645
POINST TOTAL =  1759 Point Range =  109
Channel 1 PEP level: -10.0 dBm
Direct SCPI response on *IDN?: Rohde&Schwarz,SMM100A,1440.8002K02/101983,5.10.035.38  
Measurement prepared. freq: 5500000000.0 span: 0 mode: WRITe revlevel: -40 rbw: 2000 Hz swepnt: 1759 swtcnt: 1
Measurement time: 0.98 s
PAT:  0000000000000000000000000000000000000000000000000000000000000003 POW MAX:  -70.74950767049984
PAT:  00000000000000000000000000000000000000000000000000000000000000c3 POW MAX:  -70.25978913599131
PAT:  00000000000000000000000000000000000000000000000000000000000007c3 POW MAX:  -69.47071978510643
PAT:  000000000000000000000000000000000000000000000000000000000000c7c3 POW MAX:  -68.86317054592833
PAT:  000000000000000000000000000000000000000000000000000000000003c7c3 POW MAX:  -68.71533389967315
PAT:  000000000000000000000000000000000000000000000000000000000083c7c3 POW MAX:  -68.25784691012636
PAT:  000000000000000000000000000000000000000000000000000000000783c7c3 POW MAX:  -67.58431025913784
PAT:  00000000000000000000000000000000000000000000000000000000e783c7c3 POW MAX:  -66.94092575384646
PAT:  00000000000000000000000000000000000000000000000000000003e783c7c3 POW MAX:  -66.65797471026985
PAT:  000000000000000000000000000000000000000000000000000000e3e783c7c3 POW MAX:  -66.264650617327
PAT:  000000000000000000000000000000000000000000000000000007e3e783c7c3 POW MAX:  -65.7818491410236
PAT:  0000000000000000000000000000000000000000000000000000c7e3e783c7c3 POW MAX:  -65.45628216801857
PAT:  0000000000000000000000000000000000000000000000000002c7e3e783c7c3 POW MAX:  -65.22157614571708
PAT:  0000000000000000000000000000000000000000000000000082c7e3e783c7c3 POW MAX:  -65.20226085429289
PAT:  0000000000000000000000000000000000000000000000000782c7e3e783c7c3 POW MAX:  -64.67522710683394
PAT:  000000000000000000000000000000000000000000000000c782c7e3e783c7c3 POW MAX:  -64.51549140774473
PAT:  000000000000000000000000000000000000000000000003c782c7e3e783c7c3 POW MAX:  -64.22470762291734
PAT:  000000000000000000000000000000000000000000000083c782c7e3e783c7c3 POW MAX:  -64.03160967145648
PAT:  000000000000000000000000000000000000000000000783c782c7e3e783c7c3 POW MAX:  -63.52544146167989
PAT:  00000000000000000000000000000000000000000000c783c782c7e3e783c7c3 POW MAX:  -63.36886028367646
PAT:  00000000000000000000000000000000000000000007c783c782c7e3e783c7c3 POW MAX:  -63.05748094831194
PAT:  000000000000000000000000000000000000000000c7c783c782c7e3e783c7c3 POW MAX:  -62.90236523686623
PAT:  000000000000000000000000000000000000000006c7c783c782c7e3e783c7c3 POW MAX:  -62.591547907615194
PAT:  0000000000000000000000000000000000000000c6c7c783c782c7e3e783c7c3 POW MAX:  -62.38578500553053
PAT:  0000000000000000000000000000000000000007c6c7c783c782c7e3e783c7c3 POW MAX:  -61.95519451219209
PAT:  0000000000000000000000000000000000000087c6c7c783c782c7e3e783c7c3 POW MAX:  -61.86469759259905
PAT:  0000000000000000000000000000000000000787c6c7c783c782c7e3e783c7c3 POW MAX:  -61.45123797046895
PAT:  000000000000000000000000000000000000c787c6c7c783c782c7e3e783c7c3 POW MAX:  -61.220038900569996
PAT:  000000000000000000000000000000000007c787c6c7c783c782c7e3e783c7c3 POW MAX:  -60.895332180723855
PAT:  000000000000000000000000000000000087c787c6c7c783c782c7e3e783c7c3 POW MAX:  -60.83345810247927
