0;0000000000000000000000000000000000000000000000000000000000000000;[[-15, 11, 0], [-15, 12, 0], [-15, 13, 0], [-15, 14, 0], [-15, 15, 0], [-15, 16, 0], [-15, 17, 0], [-15, 18, 0], [-15, 19, 0], [-15, 7, 90], [-15, 8, 90], [-15, 9, 90], [-15, 10, 90], [-15, 11, 90], [-15, 12, 90], [-15, 13, 90], [-15, 14, 90], [-15, 15, 90], [-14, 10, 0], [-14, 11, 0], [-14, 12, 0], [-14, 13, 0], [-14, 14, 0], [-14, 15, 0], [-14, 16, 0], [-14, 17, 0], [-14, 18, 0], [-14, 6, 90], [-14, 7, 90], [-14, 8, 90], [-14, 9, 90], [-14, 10, 90], [-14, 11, 90], [-14, 12, 90], [-14, 13, 90], [-14, 14, 90], [-13, 9, 0], [-13, 10, 0], [-13, 11, 0], [-13, 12, 0], [-13, 13, 0], [-13, 14, 0], [-13, 15, 0], [-13, 16, 0], [-13, 17, 0], [-13, 5, 90], [-13, 6, 90], [-13, 7, 90], [-13, 8, 90], [-13, 9, 90], [-13, 10, 90], [-13, 11, 90], [-13, 12, 90], [-13, 13, 90], [-12, 8, 0], [-12, 9, 0], [-12, 10, 0], [-12, 11, 0], [-12, 12, 0], [-12, 13, 0], [-12, 14, 0], [-12, 15, 0], [-12, 16, 0], [-12, 4, 90], [-12, 5, 90], [-12, 6, 90], [-12, 7, 90], [-12, 8, 90], [-12, 9, 90], [-12, 10, 90], [-12, 11, 90], [-12, 12, 90], [-11, 7, 0], [-11, 8, 0], [-11, 9, 0], [-11, 10, 0], [-11, 11, 0], [-11, 12, 0], [-11, 13, 0], [-11, 14, 0], [-11, 15, 0], [-11, 3, 90], [-11, 4, 90], [-11, 5, 90], [-11, 6, 90], [-11, 7, 90], [-11, 8, 90], [-11, 9, 90], [-11, 10, 90], [-11, 11, 90], [-10, 6, 0], [-10, 7, 0], [-10, 8, 0], [-10, 9, 0], [-10, 10, 0], [-10, 11, 0], [-10, 12, 0], [-10, 13, 0], [-10, 14, 0], [-10, 2, 90], [-10, 3, 90], [-10, 4, 90], [-10, 5, 90], [-10, 6, 90], [-10, 7, 90], [-10, 8, 90], [-10, 9, 90], [-10, 10, 90], [-9, 5, 0], [-9, 6, 0], [-9, 7, 0], [-9, 8, 0], [-9, 9, 0], [-9, 10, 0], [-9, 11, 0], [-9, 12, 0], [-9, 13, 0], [-9, 1, 90], [-9, 2, 90], [-9, 3, 90], [-9, 4, 90], [-9, 5, 90], [-9, 6, 90], [-9, 7, 90], [-9, 8, 90], [-9, 9, 90], [-8, 4, 0], [-8, 5, 0], [-8, 6, 0], [-8, 7, 0], [-8, 8, 0], [-8, 9, 0], [-8, 10, 0], [-8, 11, 0], [-8, 12, 0], [-8, 0, 90], [-8, 1, 90], [-8, 2, 90], [-8, 3, 90], [-8, 4, 90], [-8, 5, 90], [-8, 6, 90], [-8, 7, 90], [-8, 8, 90], [-7, 3, 0], [-7, 4, 0], [-7, 5, 0], [-7, 6, 0], [-7, 7, 0], [-7, 8, 0], [-7, 9, 0], [-7, 10, 0], [-7, 11, 0], [-7, 0, 90], [-7, 1, 90], [-7, 2, 90], [-7, 3, 90], [-7, 4, 90], [-7, 5, 90], [-7, 6, 90], [-7, 7, 90], [-6, 2, 0], [-6, 3, 0], [-6, 4, 0], [-6, 5, 0], [-6, 6, 0], [-6, 7, 0], [-6, 8, 0], [-6, 9, 0], [-6, 10, 0], [-6, 0, 90], [-6, 1, 90], [-6, 2, 90], [-6, 3, 90], [-6, 4, 90], [-6, 5, 90], [-6, 6, 90], [-5, 1, 0], [-5, 2, 0], [-5, 3, 0], [-5, 4, 0], [-5, 5, 0], [-5, 6, 0], [-5, 7, 0], [-5, 8, 0], [-5, 9, 0], [-5, 0, 90], [-5, 1, 90], [-5, 2, 90], [-5, 3, 90], [-5, 4, 90], [-5, 5, 90], [-4, 0, 0], [-4, 1, 0], [-4, 2, 0], [-4, 3, 0], [-4, 4, 0], [-4, 5, 0], [-4, 6, 0], [-4, 7, 0], [-4, 8, 0], [-4, 0, 90], [-4, 1, 90], [-4, 2, 90], [-4, 3, 90], [-4, 4, 90], [-3, 0, 0], [-3, 1, 0], [-3, 2, 0], [-3, 3, 0], [-3, 4, 0], [-3, 5, 0], [-3, 6, 0], [-3, 7, 0], [-3, 0, 90], [-3, 1, 90], [-3, 2, 90], [-3, 3, 90], [-2, 0, 0], [-2, 1, 0], [-2, 2, 0], [-2, 3, 0], [-2, 4, 0], [-2, 5, 0], [-2, 6, 0], [-2, 0, 90], [-2, 1, 90], [-2, 2, 90], [-1, 0, 0], [-1, 1, 0], [-1, 2, 0], [-1, 3, 0], [-1, 4, 0], [-1, 5, 0], [-1, 0, 90], [-1, 1, 90], [0, 0, 0], [0, 1, 0], [0, 2, 0], [0, 3, 0], [0, 4, 0], [0, 0, 90]]
1;0003000300030003000300030003000300030003000300030003000300030003;[[-15, 6, 90], [-14, 5, 90], [-13, 4, 90], [-12, 3, 90], [-11, 2, 90], [-10, 1, 90], [-9, 0, 90]]
2;0007000700070007000700070007000700070007000700070007000700070007;[[-15, 10, 0], [-15, 20, 0], [-15, 5, 90], [-14, 9, 0], [-14, 19, 0], [-14, 4, 90], [-13, 8, 0], [-13, 18, 0], [-13, 3, 90], [-12, 7, 0], [-12, 17, 0], [-12, 2, 90], [-11, 6, 0], [-11, 16, 0], [-11, 1, 90], [-10, 5, 0], [-10, 15, 0], [-10, 0, 90], [-9, 4, 0], [-9, 14, 0], [-8, 3, 0], [-8, 13, 0], [-7, 2, 0], [-7, 12, 0], [-6, 1, 0], [-6, 11, 0], [-5, 0, 0], [-5, 10, 0], [-4, 9, 0], [-3, 8, 0], [-2, 7, 0], [-1, 6, 0], [0, 5, 0]]
3;000f000f000f000f000f000f000f000f000f000f000f000f000f000f000f000f;[[-15, 4, 90], [-14, 3, 90], [-13, 2, 90], [-12, 1, 90], [-11, 0, 90]]
4;001f001f001f001f001f001f001f001f001f001f001f001f001f001f001f001f;[[-15, 9, 0], [-15, 21, 0], [-15, 3, 90], [-14, 8, 0], [-14, 20, 0], [-14, 2, 90], [-13, 7, 0], [-13, 19, 0], [-13, 1, 90], [-12, 6, 0], [-12, 18, 0], [-12, 0, 90], [-11, 5, 0], [-11, 17, 0], [-10, 4, 0], [-10, 16, 0], [-9, 3, 0], [-9, 15, 0], [-8, 2, 0], [-8, 14, 0], [-7, 1, 0], [-7, 13, 0], [-6, 0, 0], [-6, 12, 0], [-5, 11, 0], [-4, 10, 0], [-3, 9, 0], [-2, 8, 0], [-1, 7, 0], [0, 6, 0]]
5;003f003f003f003f003f003f003f003f003f003f003f003f003f003f003f003f;[[-15, 22, 0], [-15, 2, 90], [-14, 21, 0], [-14, 1, 90], [-13, 20, 0], [-13, 0, 90], [-12, 19, 0], [-11, 18, 0], [-10, 17, 0]]
6;007f007f007f007f007f007f007f007f007f007f007f007f007f007f007f007f;[[-15, 8, 0], [-15, 23, 0], [-15, 0, 90], [-15, 1, 90], [-14, 7, 0], [-14, 22, 0], [-14, 0, 90], [-13, 6, 0], [-13, 21, 0], [-12, 5, 0], [-11, 4, 0], [-10, 3, 0], [-9, 2, 0], [-9, 16, 0], [-8, 1, 0], [-8, 15, 0], [-7, 0, 0], [-7, 14, 0], [-6, 13, 0], [-5, 12, 0], [-4, 11, 0], [-3, 10, 0], [-2, 9, 0], [-1, 8, 0], [0, 7, 0]]
7;00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff00ff;[[-15, 7, 0], [-15, 24, 0], [-14, 6, 0], [-14, 23, 0], [-13, 5, 0], [-13, 22, 0], [-12, 4, 0], [-12, 20, 0], [-12, 21, 0], [-11, 3, 0], [-11, 19, 0], [-11, 20, 0], [-10, 2, 0], [-10, 18, 0], [-10, 19, 0], [-9, 1, 0], [-9, 17, 0], [-9, 18, 0], [-8, 0, 0], [-8, 16, 0], [-7, 15, 0], [-6, 14, 0], [-5, 13, 0], [-4, 12, 0], [-3, 11, 0], [-2, 10, 0], [-1, 9, 0], [0, 8, 0]]
8;01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff01ff;[[-15, 5, 0], [-15, 6, 0], [-15, 25, 0], [-14, 4, 0], [-14, 5, 0], [-14, 24, 0], [-13, 3, 0], [-13, 4, 0], [-13, 23, 0], [-12, 2, 0], [-12, 3, 0], [-12, 22, 0], [-11, 1, 0], [-11, 2, 0], [-11, 21, 0], [-10, 0, 0], [-10, 1, 0], [-10, 20, 0], [-9, 0, 0], [-9, 19, 0], [-8, 17, 0], [-8, 18, 0], [-7, 16, 0], [-7, 17, 0], [-6, 15, 0], [-6, 16, 0], [-5, 14, 0], [-5, 15, 0], [-4, 13, 0], [-4, 14, 0], [-3, 12, 0], [-3, 13, 0], [-2, 11, 0], [-2, 12, 0], [-1, 10, 0], [-1, 11, 0], [0, 9, 0], [0, 10, 0]]
9;03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff03ff;[[-15, 3, 0], [-15, 4, 0], [-15, 26, 0], [-15, 27, 0], [-15, 28, 0], [-14, 2, 0], [-14, 3, 0], [-14, 25, 0], [-14, 26, 0], [-14, 27, 0], [-13, 1, 0], [-13, 2, 0], [-13, 24, 0], [-13, 25, 0], [-13, 26, 0], [-12, 0, 0], [-12, 1, 0], [-12, 23, 0], [-12, 24, 0], [-11, 0, 0], [-11, 22, 0], [-11, 23, 0], [-10, 21, 0], [-10, 22, 0], [-9, 20, 0], [-9, 21, 0], [-8, 19, 0], [-8, 20, 0], [-7, 18, 0], [-7, 19, 0], [-6, 17, 0], [-6, 18, 0], [-5, 16, 0], [-5, 17, 0], [-4, 15, 0], [-4, 16, 0], [-3, 14, 0], [-3, 15, 0], [-2, 13, 0], [-2, 14, 0], [-1, 12, 0], [-1, 13, 0], [0, 11, 0], [0, 12, 0]]
