0;-71.22808075
1;-71.22412109
2;-71.20749664
3;-71.22866058
4;-71.21063995
5;-71.22366333
6;-71.25046539
7;-71.22505188
8;-71.21005249
9;-71.2365799
10;-71.22645569
11;-71.220047
12;-71.21017456
13;-71.23320007
14;-71.22645569
15;-71.24381256
16;-71.23274231
17;-71.24497986
18;-71.24416351
19;-71.239151
20;-71.24649811
21;-71.24404907
22;-71.24824524
23;-71.25443268
24;-71.23460388
25;-71.22645569
26;-71.22098541
27;-71.22820282
28;-71.22214508
29;-71.22936249
0;-71.2399295116482
1;-71.24874058565426
2;-71.23709614073923
3;-71.22532723171831
4;-71.21461188786216
5;-71.21337886048954
6;-71.20971315364628
7;-71.17623961593404
8;-71.07705733439568
9;-71.15328809504487
10;-71.06658494244762
11;-71.13658720580415
12;-71.1563377111589
13;-71.1811041132768
14;-71.19243002183826
15;-71.20466290612391
16;-71.2059859316583
17;-71.22048015765247
18;-71.21317644137854
19;-71.20739274328682
20;-71.20194572115878
21;-71.21305812123886
22;-71.20478287281736
23;-71.18021673313686
24;-71.202910028042
25;-71.20426787722278
26;-71.21273831930068
27;-71.19491779123877
28;-71.20255525736265
29;-71.20652817486507
0;
