0;-83.80456543
1;-83.64896393
2;-83.64896393
3;-83.56230927
4;-83.51907349
5;-83.52770233
6;-83.4894104
7;-83.46365356
8;-83.50709534
9;-83.469841
10;-83.46080017
11;-83.48177338
12;-83.47795105
13;-83.42611694
14;-83.43370056
15;-83.50997162
16;-83.44509888
17;-83.47651672
18;-83.43228149
19;-83.46556091
20;-83.52146912
21;-83.4894104
22;-83.46127319
23;-83.5526886
24;-83.48510742
25;-83.52291107
26;-83.48081207
27;-83.51284027
28;-83.59319305
29;-83.53682709
0;-83.62221637608398
1;-83.62742456976034
2;-83.6579334437163
3;-83.67070502745261
4;-83.65890040272738
5;-83.62338815499497
6;-83.67921606273735
7;-83.5290573149949
8;-83.59290947836158
9;-83.61857659109884
10;-83.61486290508476
11;-83.60284219560415
12;-83.60950127005987
13;-83.6435292154446
14;-83.63881665070934
15;-83.6736399435064
16;-83.67671581640349
17;-83.71504186243745
18;-83.72246530177839
19;-83.6738697781119
20;-83.73309219473543
21;-83.72005947385624
22;-83.7468957511189
23;-83.63403838576431
24;-83.68327726360636
25;-83.6839150382916
26;-83.69496663162849
27;-83.76226382103889
28;-83.75712631946064
29;-83.81021365100895
