2024-11-07 11:04:11N_elements ,4, swt = ,1.1
2024-11-07 11:56:03N_elements ,4, swt = ,1.1
2024-11-07 12:05:30N_elements ,4, swt = ,1.1
2024-11-07 12:16:54N_elements ,4, swt = ,1.1
2024-11-07 12:19:35N_elements ,4, swt = ,1.1
2024-11-07 12:22:11N_elements ,4, swt = ,1.1
2024-11-07 12:25:57N_elements ,4, swt = ,1.1
2024-11-07 12:27:21N_elements ,4, swt = ,1.1
2024-11-07 12:41:03N_elements ,4, swt = ,1.1
2024-11-07 12:43:13N_elements ,4, swt = ,1.1
2024-11-07 12:43:53N_elements ,4, swt = ,1.1
2024-11-07 12:50:44N_elements ,4, swt = ,1.1
2024-11-07 12:51:45N_elements ,4, swt = ,1.1
2024-11-07 12:53:19N_elements ,4, swt = ,1.1
2024-11-07 13:10:07N_elements ,4, swt = ,1.1
2024-11-07 13:12:18N_elements ,4, swt = ,1.1
2024-11-07 13:12:58N_elements ,4, swt = ,1.1
2024-11-07 13:29:20N_elements ,4, swt = ,1.1
2024-11-07 13:31:02N_elements ,4, swt = ,1.1
2024-11-07 14:08:07N_elements ,4, swt = ,1.1
2024-11-07 15:11:37N_elements ,4, swt = ,1.1
2024-11-07 15:12:21N_elements ,4, swt = ,1.1
2024-11-07 15:18:52N_elements ,4, swt = ,1.1
2024-11-07 15:19:24N_elements ,4, swt = ,1.1
2024-11-14 11:12:09N_elements ,4, swt = ,1.1
2024-11-14 11:17:09N_elements ,4, swt = ,1.1
2024-11-14 11:20:53N_elements ,4, swt = ,1.1
2024-11-14 11:23:03N_elements ,4, swt = ,1.1
2024-11-14 11:26:31N_elements ,4, swt = ,1.1
